reviews,star
"ไม่รู้จะใจร้ายไปรึเปล่า แต่ไม่อร่อยอ่ะค่ะ

1.Chocolate ที่ให้มาสำหรับจิ้ม เย็นได้โล่ ไม่มีไฟอังมาให้ด้วยค่ะ ใส่ถ้วยมาเฉยๆ
2.โฆษณาว่าเป็น chocolate มาจาก Swiss แต่หวานมากกกกกกก ประมาณว่าเอาอะไรไปจิ้มไม่ได้เลย
3.เครื่องที่ใช้จิ้ม เห่ยมาก Waffle แข็งกรอบ ส่วนบราวนี่ก็หวานสุดๆ บวกกับ chocolate ที่หวานอยู่แล้วแทบตายเลยทีเดียว

ไปลองกันได้ค่ะ

ลักษณะร้านเป็นร้านคาเฟ่เล็กๆริมทางในห้าง มีเก้าอี้นั่งได้ประมาณ 6 ที่ค่ะ
ราคาขายไม่แพงมากสำหรับฟองดู แต่ก็ไม่ได้ถูกค่ะ",0
"ขอออกความเห็นแบบตรงไปตรงมานะครับ...

ผมไปกับครอบครัว + คุณพ่อคุณแม่ + คุณยาย....

พนักงานแนะนำแต่เมนูแพงๆ ผมไม่ใช่คนมีเงินเหลือทิ้งขว้าง อย่างข้าราชการโต๊ะข้างๆ
ผมสั่งเมนูธรรมดา แต่สิ่งที่ได้รับคือบริการที่แย่มาก ถึงขนาดกับดูถูกลูกค้าเลยครับ...

พิจารณากันเองแล้วกันนะครับ (เรื่องนานแล้ว แต่ว่ามันฝังใจมาก ไม่เคยเจอบริการขนาดนี้ในชีวิต)

ขอบคุณครับ",0
"วันนี้ไปทานมา. chocolateหวานเลี่ยนเกินไปค่ะ ตัวบราวนี่ หน้าแห้งมากและหวานอยู่แล้วเมื่อทานกับchocolate ที่ไม่ร้อน เลยหวานเจี๊ยบเลยค่ะ
คำเดียวก็ไม่กินต่อแล้วค่ะ ให้น้องกินแทน 


ครั้งเดียวพอเลยค่ะ เข็ดจริงๆ!!",0
"สวัสดีค่ะ เพื่อนๆชาวนักกินทุกคน^^
ไม่ได้เจอกันนานเลยจ้า ปีใหม่ 2012 นี้ก็ขอให้เพื่อนๆทุกคนมีความสุขมากๆ แข็งแรงๆ ร่ำรวยๆ มีแรงไปกินอาหารอร่อยๆได้ทุกที่เลยนะจ้ะ
มาคราวนี้ จะเป็นการรีวิวที่ค่อนข้างไม่ประทับใจและเป็นคติเตือนใจให้แก่คนที่กำลังจะไปกินร้านนี้โดยเฉพาะนะคะ555+
ไม่พูดพล่ามทำเพลง เริ่มเลยดีกว่า
นั่นคือร้าน โจ๊กร่วมใจ จ้า อยู่ตรงปากซอยสุขุมวิท23 เลยจ้ะ ตรงข้ามตึก Jasmine Tower
เกริ่นนำกันก่อน ตอนนั้นที่ไปกินร้านนี้เพราะว่าอยากลองของใหม่แท้ๆเลยอ่ะจ้ะ ร้านค่อนข้างดูสะอาดตาและโล่งๆดีค่ะ
และพอเข้าไปข้างในก็อ่านเมนูสิ่งที่สะดุดตาครั้งแรกเลยคือ ราคาค่อนข้างแพงค่ะ แต่อันนั้นยังไม่เท่าไหร่เพราะคิดว่าร้านอยู่ตรงสุขุมวิทด้วย และอาหารเค้าน่าจะดีนะ เลยแพงรึป่าว(แต่ได้ข่าวว่าร้านแถวนั้นมีถูกๆและอร่อยๆเยอะแยะ555+)
ไม่เป็นไร มองโลกในแง่ดีก่อน
วันนั้นเราสั่งก๋วยเตี๋ยวคั่วไก่จ้ะ พอได้อาหารมาปุ๊บ อึ้งเลยจ้า แทบจะยืนไว้อาลัยให้กับอาหาร 1 นาทีเลยทีเดียว ชามเล็กมากกกกก และไม่มีอะไรเลยนอกจาก เส้นใหญ่ ไก่นิดหน่อย และต้นหอมที่โรยหน้ามา ประกอบกับราคาที่ไม่ค่อยสมเหตุสมผลเท่าไหร่555+ 40 บาทจ้ะ
ส่วนเรื่องรสชาติ ธรรมดามากค่ะ กินที่โรงอาหาร มศว ประสานมิตร อร่อยกว่า ที่สำคัญมีกลิ่นไหม้เยอะไปหน่อยด้วยค่ะ
และมีอีกครั้งที่เราไปกับเพื่อน ตอนนั้นเพื่อนหิวอ่ะค่ะ เลยจำใจอีกครั้ง เราเลยสั่งเนื้อผัดน้ำมันหอย และคิดในแง่ดีอีกครั้งว่าเปลี่ยนเมนูมันอาจจะดีกว่านี้นะ แต่สิ่งที่ได้มาก็คือ เนื้อวัวแบบเหนียวๆติดมันเยอะ ผัดกับคื่นฉ่าย รสชาติเหมือนผัดผักคื่นฉ่ายค่ะ กลบกลิ่นเนื้อหมดเลย และน้ำมันหอยก็ไม่ชัดเจนอ่ะค่ะ
เรื่องบริการก็ดีค่ะ พนักงานดูเรียบร้อยอ่ะ
เราว่านะคะ ร้านนี้น่าจะขายแบบพวกฝรั่งมากกว่าอ่ะค่ะ คนไทยไปกินเลยรู้สึกตะขิดตะขวงใจนิดหน่อย ราคาฝรั่งมาก555+
ถ้าใครเคยไปกินแล้วมีประสบการณ์อย่างไรก็มาแชร์กันมั่งนะจ้ะ^^",0
"รีวิวในครั้งนี้ไม่ใช่สเต็กในร้าน steak lao นะครับ....แต่ผมขอพูดถึงขนมที่ขายอยู่ในร้านนั่นก็คือ 
barbe papa(บาร์บี้ปาป้า้) เป็นเหมือนขนมสายไหมกลมๆเล็กๆสีสวยน่าทานครับ...
กระปุกละ 50 บาทมีข้างในอยู่ประมาณ 10 ลูกได้...รสชาดจะมีอยู่หลายรสแล้วแต่สีครับ
แต่พอผมชิมแล้วผิดหวังมาก..มันมีแค่รสหวานครับ(ไม่อร่อยเลยแถมยังพาลหิวน้ำอีก)(ไม่ต่างกับคุณไปทานน้ำตาลก้อนที่ใส่กับกาแฟแล้วอมช็อคโกแลตหรือรสชาดที่คุณต้องการตามลงไปยังอร่อยซะกว่าครับผมว่า)
แต่แพคเกจสวยครับอันนี้ยอมรับซึ่งก็ดูเก๋ไก๋มีสไตล์ครับถ้าจะถือเดินแต่รสชาดผมขอบายครับ...ไม่ปลื้มจริงๆ",0
วันนี้ดิช้ันมาทบนอาหารเวลา5 โมงเย็น ที่ร้านแม่ศรีเรือนในโฮมโปร มีแขกไม่ถึง5 โต๊ะแต่พนักงานบริการแย่มาก ไม่เอาเมนูมาให้ ยืนคุยกัน แย่มากถึงมากที่สุด ดิชั้นส่ังกาแฟ พนักงานกระแทกโต๊ะมาให้ ดิชั้นยังโอเค ดิชั้นหันไปขอที่รองแก้ว แต่ดูสิ่งที่เขามาให้ดิชั้นสิคะ จานเปล่าใบนึงแล้วบอกว่าอันนี้คือที่รองแก้ว? แย่มากคะ จะไม่มาใช้บริการอีกอย่างแน่นอนคะ,0
"ทาน 4 อย่างแย่. 3 อย่าง. 1 อย่างพอทานได้
ไก่แช่เหล้าแย่มาก. แย่ที่สุดที่เคยทานมา
หูฉลามโปรโมชั่น200บาทรู้สึกเหมือนโดนหลอกมีเนื้อแข็งๆ2ชิ้น. รสชาติแย่มาก
ข้าวผัดปูข้าวแข็ง รสชาติธรรมดา
อ่อส่วนพอทานได้
ท็อฟฟี่แจกหลังจ่ายเงินก็แย่ค่ะ. เหนียวติดเปลือกเลย
ราคาถือว่าแพงเพราะไม่คุ้มค่า
มีอย่างเดี่ยวที่โอเคคือบริการที่พอใชได้",0
"ด้วยความที่กำลังกลับกรุงเทพฯ บวกกับความหิวตั้งแต่กลางวัน และอีกอย่างคือ ดันอยากจะกินอาหารอีสาน เนื่องด้วยมาอีสานแล้ว ยังไม่ได้กินอาหารอีสานเลย 55555
เจอป้ายร้านนี้มาแต่ไกล เลยคิดไว้ว่าน่าจะดี

เข้ามาปุ๊บ ตกใจมากกกก คนไม่มีครับ!! แต่ตอนนั้นบ่านสามได้แล้วครับ ก็คิดว่ามันไม่ใช่เวลาอาหารหนิ คนที่ไหนจะมี
สั่งไปเลยครับ ไก่ย่าง ต้มแซ่บ ลาบเป็ด ส้มตำ น้ำตกหมู

อย่างแรกมาอย่างเร็วปครับ ไก่ย่าง
แอบเสียอารมณ์พอตัว เย็นมากมายก่ายกอง ชืดสุด เจ๊เอาไก่เมื่อวานมาช่ายมะ !!
รสชาด เค็มๆ แห้งๆ ไม่อร่อยครับ

อย่างที่สองตามมาอย่างไม่ช้านัก ส้มตำลาว 
อันนี้ผมกินไม่เป็น ไม่รู้เหมือนกันว่ารสชาดเป็นยังไง แต่เพื่อนไม่ได้คอมเมนต์อะไรครับ

อย่างที่สาม ต้มแซ่บกระดูกอ่อน 
ตอนแรกถามอย่างถี่ถ้วนแล้วเพราะกลัวเข้าใจไม่ตรงกัน ""ป้ามีต้มแซ่บกระดูกอ่อนมั้ยครับ"" ป้าแกบอกมี เลยสั่ง
มาถึงปุ๊บ  กระดูกมันอ่อนมานานแระใช่มะ ตอนนี้มันแข็งเป๊กฮะ ผิดหวังรุนแรง งั้นกินน้ำแกงก็ได้วะ T T น้ำแกงเฉยๆครับ ไม่ได้เด่น และไม่ได้แย่

อย่างต่อไปมาพร้อมกับต้มแซ่บสุดรัก น้ำตกหมู
จานนี้แปลกดีสำหรับผมครับ มีกลิ่นตะไคร้หอมดี เคยเจอบางร้านเป็นประมาณนี้เหมือนกันครับ ไม่รู้ว่าเป็นอาหารอีสานแท้ต้องเป็นอย่างนี้หรือว่าเป็นสูตรเฉพาะตัวครับ ใครเชี่ยวชาญอาหารอีสานก็แนะนำผมหน่อยล่ะกันครับ ทานได้ครับจานนี้ ไม่ถึงกับอร่อย แต่ก็ไม่แย่เหมือนเดิม

ร้านนี้ผมประทับใจอย่างนึงครับ ข้าวเหนียวห่อใบตอง มีกลิ่นใบตองมานิดๆ น่ารักดี

สรุปร้านนี้ผมว่า ไม่หิวจริง หาร้านอื่นดีกว่านะ ผมชอบอาหารร้อนๆ สดๆ ใหม่ๆน่ะครับ รสชาดร้านนี้ก็ไม่ได้อร่อยอะไร แต่ว่าผมก็ไม่ค่อยถนัดอาหารอีสานนะ อันนี้ความคิดเห็นส่วนตัว ^^",0
กินแค่หม้อไฟเชอรอยกับเนื้อตุ๋น หม้อไฟเปนโถเท่าชามก๋วยเตี๋ยวธรรมดาตั้งมาบนตะเกียงแอลกอฮอล ในน้ำแกงมีเนื้่อตุ๋นที่ยังไม่เปื่อย ชิ้นลูกเต๋า(จริงๆ) อยู่3ชิ้น ส่วนเชงลอยเราแยกมาต้มเอง ปะมาน 6-7 ชิ้น รสชาติธรรมดา ราคา 150 งงมากกับเนื้อตุ๋น ถามพนักงานก็ไม่ค่อยรู้เรื่อง ไม่มีคนไทยคะ,0
เมื่อก่อนผมฝากท้องที่ร้านนี้ประจำ เพราะอ่านหนังสือที่มธ.แต่มีอยู่วันนึงเจอเหตุการณ์ที่ทำให้เลิกกินร้านนี้ไปเลย คือ ระหว่างที่ผมนั่งกินข้าวอยู่ พี่ต้อยเจ้าของร้านทำถ้วยน้ำปลาพริกบนโต๊ะที่ติดกับโต๊ะที่ผมนั่งหกตอนเก็บจาน สิ่งที่ผมอึ้งคือ แกใช้มือกอบเอาทั้งพริกและน้ำปลาใส่กลับไปในถ้วยอย่างเดิมและที่สำคัญเอาไปไว้ตามเดิมเหมือนไม่มีอะไรเกิดขึ้น โดยที่แกไม่หันมามองด้วยซ้ำว่ามีใครเห็นบ้าง หลังจากวันนั้นผมก็จบกับร้านนี้ไปเลย ทั้งๆที่อาหารก็อร่อย แต่ทำแบบนี้รับไม่ได้จริงๆครับ,0
ลองเปรียบเทียบรูปที่ถ่ายมานะคะ ว่าเศษเนื้อที่เสริฟมาเนี่ย แน่ใจนะคะว่ามิยาบิ? หมูกระทะข้างบ้านยังใช้เนื้อดีกว่านี้เลย! ไปกินที่ซีคอนมา ประทับใจมาก ของทอดอร่อยมาก แต่ที่นี่...ดูตามภาพค่ะ บรรยายไม่ถูก ที่นั่งก็แย่ คนขายาวนี่นั่งกีนเมื่อยเลย  ขอเตือนนะคะ สาขาอื่นเถอะ! มาตราฐานที่นี่แย่มากที่สุด! ,0
"ผัดโง้วก้วย..เม็ดมะม่วงก็ดิบ กุ้งก็ทอดค้างเอาไว้จนแห้งแข็งเป็นหิน เม็ดเกาลักก็ไม่ใส่(ไม่รู้เป็นสูตรภัตตาคารประเทศใหน??) แฮมหั่นเป็นลูกเต๋าถอดค้างไว้จนแห้งแข็ง แค่วัตถุดิบก็แย่อย่างงี้..เรื่องรสชาดไม่ต้องพูดถึง เอาไม้ดีดปากยังจะอร่อยกว่า !!!!!
ผัดอ้อส่วนแบบนิ่ม ใส่ใข่เยอะมาก..มากจนแทบหาหอยไม่เจอ ที่เจอก็เป็นหอยเล็กระดับหลานเหลนหอย 
เป็นลูกค้าประจำร้านนี้มานานกว่าสิบปี กินประจำที่ศาลายา ปกติรสชาดวัตถุดิบประทับใจมาก พอมาเจอที่นี้..ด้วยความหวังดี อยากจะบอกว่า..ถ้ารักษามาตรฐานอาหารไม่ได้ มันก็เหมือนเอาชื่อเสียงเก่ามาหลอกหากินหรือเปล่า????",0
